,Max Depth,Training Acc,Validation Acc
0,1,0.6350174216027874,0.5792682926829268
1,2,0.8240418118466899,0.7967479674796748
2,3,0.8966318234610917,0.8672086720867209
3,4,0.9668989547038328,0.9634146341463414
4,5,0.9695121951219512,0.9654471544715447
5,6,0.9950638792102207,0.9952574525745257
6,7,0.9939024390243902,0.9939024390243902
7,8,0.997096399535424,0.9986449864498645
8,9,0.9988385598141696,0.9986449864498645
9,10,1.0,1.0
10,11,0.9988385598141696,0.9986449864498645
11,12,1.0,1.0
12,13,1.0,1.0
13,14,1.0,1.0
14,15,1.0,1.0
15,16,1.0,1.0
16,17,1.0,1.0
17,18,1.0,1.0
18,19,1.0,1.0
19,20,1.0,1.0
